batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,396,4,1,0.6565804999845568
2,,,,792,8,2,0.8532873000076506
3,,,,1072,12,3,1.0213871999876574
4,,,,1268,16,4,1.1873849999974482
5,,,,1560,20,5,1.3526322999969125
6,,,,1780,24,6,1.5015878999838606
7,,,,2100,28,7,1.7099631000019144
8,,,,2392,32,8,1.861002699995879
9,,,,2688,36,9,2.0279230999876745
10,,,,2928,40,10,2.178611199982697
11,,,,3224,44,11,2.3302930000063498
12,,,,3568,48,12,2.508785899990471
13,,,,3824,52,13,2.689223800000036
14,,,,4156,56,14,2.8760033999860752
15,,,,4392,60,15,3.0538129000051413
16,,,,4712,64,16,3.213439599989215
17,,,,4968,68,17,3.365818699996453
18,,,,5212,72,18,3.523501199990278
19,,,,5484,76,19,3.7117304999846965
20,,,,5780,80,20,3.864309199998388
21,,,,6000,84,21,4.004522400005953
22,,,,6220,88,22,4.1642022999876644
23,,,,6540,92,23,4.3141074999875855
24,,,,6832,96,24,4.4689035000046715
25,,,,7012,100,25,4.640021900006104
26,,,,7256,104,26,4.791497800004436
27,,,,7508,108,27,4.9569681999855675
28,,,,7904,112,28,5.133758599986322
29,,,,8160,116,29,5.294223200005945
30,,,,8376,120,30,5.457368000003044
31,,,,8592,124,31,5.671619100001408
32,,,,8936,128,32,5.865840399987064
33,,,,9168,132,33,6.023465300007956
34,,,,9512,136,34,6.193932700000005
35,,,,9784,140,35,6.344343800010392
36,,,,10044,144,36,6.525562700000592
37,,,,10364,148,37,6.688381199986907
38,,,,10636,152,38,6.838874599983683
39,,,,10968,156,39,7.025000699999509
40,,,,11168,160,40,7.1889558999973815
41,,,,11400,164,41,7.322421099990606
42,,,,11696,168,42,7.476023299997905
43,,,,11988,172,43,7.667598900006851
44,,,,12292,176,44,7.830847200006247
45,,,,12596,180,45,7.984353899984853
46,,,,12940,184,46,8.139732999989064
47,,,,13284,188,47,8.303555499995127
48,,,,13580,192,48,8.451780800009146
49,,,,13840,196,49,8.601746600004844
50,6.025208834336433,1678.6969593134895,24.100835337345732,14048,200,50,8.78907870000694
51,6.050478151394337,1672.8954692875607,24.20191260557735,14340,204,51,8.951820799993584
52,6.0351299742832145,1682.9391014001192,24.140519897132858,14736,208,52,9.140516399987973
53,6.041481651434474,1696.5466841579257,24.165926605737894,15028,212,53,9.297978199989302
54,6.046901694686334,1691.6516006277604,24.187606778745337,15268,216,54,9.455955699988408
55,6.017626512261251,1695.7425894143541,24.070506049045004,15588,220,55,9.644333200005349
56,6.05669119820289,1694.3902641829636,24.22676479281156,15808,224,56,9.80018900000141
57,6.049653307323571,1692.4213783018677,24.198613229294285,16100,228,57,9.960640400007833
58,6.057090700462581,1688.074093990143,24.228362801850324,16344,232,58,10.117615399998613
59,6.064214211804738,1689.069297198185,24.256856847218952,16576,236,59,10.25880069998675
60,6.0634683776597695,1683.9117894529418,24.253873510639078,16832,240,60,10.411476400011452
61,6.082794303625097,1678.3546731634963,24.33117721450039,17088,244,61,10.564294199983124
62,6.1091539999905144,1683.1342653035092,24.436615999962058,17324,248,62,10.709974299999885
63,6.133146812222804,1689.7445298981195,24.532587248891215,17656,252,63,10.865376800007652
64,6.1511944000156165,1692.2061329022554,24.604777600062466,17872,256,64,11.01974550000159
65,6.160367439504835,1681.1517020624215,24.64146975801934,18084,260,65,11.16751060000388
66,6.1635838034855635,1690.0798364006537,24.654335213942254,18404,264,66,11.315738999983296
67,6.172796425676776,1688.574761015745,24.691185702707106,18616,268,67,11.461556599999312
68,6.201484301201066,1696.4223586387568,24.805937204804263,18888,272,68,11.61306470001
69,6.183507965912428,1688.4762568144547,24.73403186364971,19160,276,69,11.788613699987764
70,6.173249500775727,1690.7144551104134,24.692998003102907,19420,280,70,11.941995200002566
71,6.153928154696376,1691.9534714299916,24.615712618785505,19692,284,71,12.126596199988853
72,6.153937970198084,1686.9325472591972,24.615751880792335,19972,288,72,12.276488700008485
73,6.152874598532126,1678.60464557505,24.611498394128503,20200,292,73,12.432660799997393
74,6.158420748674804,1686.1504645759424,24.633682994699218,20428,296,74,12.596607199986465
75,6.128643555209375,1697.0088930016489,24.5145742208375,20824,300,75,12.786741699994309
76,6.147204162458906,1697.6319740080392,24.588816649835625,21040,304,76,12.92807160000666
77,6.151322508593589,1686.2155905189609,24.605290034374356,21336,308,77,13.099525300000096
