batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,488,4,1,0.6732937000342645
2,,,,732,8,2,0.8793897000141442
3,,,,968,12,3,1.0353196000214666
4,,,,1232,16,4,1.1887797000235878
5,,,,1476,20,5,1.335655200004112
6,,,,1736,24,6,1.5184746000450104
7,,,,1940,28,7,1.6661710999906063
8,,,,2200,32,8,1.81931110000005
9,,,,2436,36,9,1.9811703000450507
10,,,,2660,40,10,2.170119700022042
11,,,,2904,44,11,2.3326416999916546
12,,,,3136,48,12,2.53039249998983
13,,,,3448,52,13,2.715856100025121
14,,,,3684,56,14,2.8773205000325106
15,,,,3972,60,15,3.0315263000084087
16,,,,4200,64,16,3.1782579999999143
17,,,,4420,68,17,3.3283142000436783
18,,,,4664,72,18,3.482898299989756
19,,,,4892,76,19,3.622777800017502
20,,,,5116,80,20,3.7651421999908052
21,,,,5368,84,21,3.9283467000350356
22,,,,5684,88,22,4.093485300021712
23,,,,5928,92,23,4.251513700000942
24,,,,6168,96,24,4.402135300042573
25,,,,6384,100,25,4.576404599996749
26,,,,6620,104,26,4.718623600027058
27,,,,6848,108,27,4.8846935000037774
28,,,,7072,112,28,5.029936300008558
29,,,,7268,116,29,5.19488220004132
30,,,,7504,120,30,5.329334000009112
31,,,,7700,124,31,5.491872699989472
32,,,,7948,128,32,5.674262600019574
33,,,,8192,132,33,5.809478799987119
34,,,,8512,136,34,5.987179099989589
35,,,,8696,140,35,6.147833900002297
36,,,,8968,144,36,6.318775099993218
37,,,,9200,148,37,6.474760000011884
38,,,,9400,152,38,6.625579499988817
39,,,,9628,156,39,6.764992900018115
40,,,,9860,160,40,6.913594799989369
41,,,,10136,164,41,7.0706851000431925
42,,,,10432,168,42,7.246487200027332
43,,,,10692,172,43,7.401199500018265
44,,,,10944,176,44,7.636554100026842
45,,,,11192,180,45,7.83920530002797
46,,,,11428,184,46,7.9990134999970905
47,,,,11736,188,47,8.163700900040567
48,,,,12060,192,48,8.333812900003977
49,,,,12332,196,49,8.495100400003139
50,6.142629115234303,1520.864825020869,24.570516460937213,12620,200,50,8.650334000005387
51,6.1819466241054615,1533.1227627781543,24.727786496421846,12884,204,51,8.80569559999276
52,6.190147745693216,1531.1140954653426,24.760590982772865,13088,208,52,8.951124200015329
53,6.203136019480832,1526.7310284681394,24.812544077923327,13292,212,53,9.088010000006761
54,6.202203321333203,1519.9195404605937,24.80881328533281,13484,216,54,9.236073400010355
55,6.228121736430588,1517.1196131843978,24.912486945722353,13672,220,55,9.386015099997167
56,6.212693252476676,1514.8828363385985,24.850773009906703,13888,224,56,9.553249699994922
57,6.221696518491468,1513.522908171802,24.886786073965872,14120,228,57,9.694976500002667
58,6.232492102947759,1512.0789004049584,24.929968411791037,14324,232,58,9.84319390001474
59,6.269837638356532,1523.1866785101256,25.079350553426128,14564,236,59,9.985314099991228
60,6.273712874185189,1519.5188651189758,25.094851496740755,14772,240,60,10.143008699989878
61,6.302022390995935,1537.693463403008,25.20808956398374,15092,244,61,10.305674300005194
62,6.335963590107793,1532.0101350121863,25.343854360431173,15296,248,62,10.449486400000751
63,6.339452258912246,1533.8886935033383,25.357809035648984,15540,252,63,10.606694900023285
64,6.339891657990911,1529.8546727364192,25.359566631963645,15796,256,64,10.760364999994636
65,6.348080187003769,1528.2031405284993,25.392320748015077,15996,260,65,10.897127100033686
66,6.355445102846229,1530.494943134398,25.421780411384916,16220,264,66,11.038238400011323
67,6.368434275838665,1532.5832036875415,25.47373710335466,16456,268,67,11.177097200008575
68,6.369102045788899,1534.8236113607209,25.476408183155595,16700,272,68,11.316170000005513
69,6.375890576902236,1535.939027954163,25.503562307608945,16920,276,69,11.45034310000483
70,6.382177584148927,1537.4535551692638,25.528710336595708,17172,280,70,11.60597700002836
71,6.397952905791713,1530.808160561266,25.59181162316685,17408,284,71,11.752184999990277
72,6.3895037300995385,1520.4410916930738,25.558014920398154,17588,288,72,11.920340900018346
73,6.395147163951199,1523.3501570946612,25.580588655804796,17840,292,73,12.064195100043435
74,6.428119754735476,1531.7291072712533,25.712479018941902,18060,296,74,12.199162400036585
75,6.401328800891845,1528.4805504170322,25.60531520356738,18320,300,75,12.373284300032537
76,6.411899732166705,1529.9577891529207,25.64759892866682,18540,304,76,12.526734400016721
77,6.402747170527969,1532.4779350194292,25.610988682111877,18800,308,77,12.682901300024241
78,6.42241606708582,1544.001250413693,25.68966426834328,19048,312,78,12.824409699998796
79,6.413696262492616,1541.3813711655723,25.654785049970464,19280,316,79,12.969234300020617
80,6.4376088366043716,1552.9089071155852,25.750435346417486,19520,320,80,13.103394500038121
81,6.4652117248791425,1556.9285378280383,25.86084689951657,19748,324,81,13.253287400002591
82,6.452300950404853,1549.0789465420958,25.80920380161941,19956,328,82,13.40366890002042
83,6.452791227928865,1548.1431362353414,25.81116491171546,20268,332,83,13.580792199994903
84,6.459782933895142,1561.4218177357973,25.83913173558057,20540,336,84,13.733228099998087
85,6.47393275599456,1558.5002201982006,25.89573102397824,20764,340,85,13.887590199999977
86,6.480267288530079,1562.670169005539,25.921069154120318,21016,344,86,14.036176500027068
87,6.479886195191737,1569.4548849905211,25.919544780766948,21268,348,87,14.187440700014122
88,6.481196428837998,1567.126842630053,25.92478571535199,21476,352,88,14.325325400044676
89,6.486406345554858,1567.857076668403,25.945625382219433,21704,356,89,14.467854799993802
90,6.477249592781203,1567.230023918652,25.908998371124813,21992,360,90,14.635624399990775
91,6.513135665450066,1566.8743515168444,26.052542661800263,22220,364,91,14.769745199999306
92,6.523717113348933,1564.0944621963934,26.094868453395733,22440,368,92,14.912254800030496
93,6.575646478662006,1576.008005008298,26.302585914648024,22688,372,93,15.088292900007218
94,6.628624315344692,1589.2464991157028,26.514497261378768,22940,376,94,15.23138770001242
95,6.650152934506481,1593.8652257723288,26.600611738025925,23172,380,95,15.367265100008808
96,6.657323498084051,1595.5838196224306,26.629293992336205,23480,384,96,15.524016200040933
97,6.646406520591274,1590.2544907635122,26.585626082365096,23784,388,97,15.70621780003421
98,6.6602916348738255,1592.4893223302397,26.641166539495302,24048,392,98,15.852135599998292
99,6.664133117384505,1595.5838721052046,26.65653246953802,24352,396,99,16.003128300013486
100,6.667469212200751,1591.4840797122447,26.669876848803003,24580,400,100,16.15481090004323
101,6.6637890884205495,1596.589467307291,26.655156353682198,24828,404,101,16.304298100003507
