batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,488,4,1,0.9226735000120243
2,,,,732,8,2,1.2197628000139957
3,,,,968,12,3,1.4882479000079911
4,,,,1232,16,4,1.8316007000103127
5,,,,1476,20,5,2.0978222000121605
6,,,,1736,24,6,2.431646000011824
7,,,,1940,28,7,2.7141478000121424
8,,,,2200,32,8,3.0369814000005135
9,,,,2436,36,9,3.3128230000002077
10,,,,2660,40,10,3.583066700011841
11,,,,2904,44,11,3.8557643000094686
12,,,,3136,48,12,4.124577500013402
13,,,,3448,52,13,4.462952400004724
14,,,,3684,56,14,4.7354977000068175
15,,,,3972,60,15,5.064669000013964
16,,,,4200,64,16,5.353363200003514
17,,,,4420,68,17,5.6233376000018325
18,,,,4664,72,18,5.893629100013641
19,,,,4892,76,19,6.164745900008711
20,,,,5116,80,20,6.443110000007437
21,,,,5368,84,21,6.715494700009003
22,,,,5684,88,22,7.04361880000215
23,,,,5928,92,23,7.339033800002653
24,,,,6168,96,24,7.610698900010902
25,,,,6384,100,25,7.879286600000341
26,,,,6620,104,26,8.152355000012903
27,,,,6848,108,27,8.442187500011642
28,,,,7072,112,28,8.710852000003797
29,,,,7268,116,29,8.981055500000366
30,,,,7504,120,30,9.263501600013115
31,,,,7700,124,31,9.53086520000943
32,,,,7948,128,32,9.815166300002602
33,,,,8192,132,33,10.087845200003358
34,,,,8512,136,34,10.424287200003164
35,,,,8696,140,35,10.682901800013497
36,,,,8968,144,36,11.016877700007171
37,,,,9200,148,37,11.30736250001064
38,,,,9400,152,38,11.580731400012155
39,,,,9628,156,39,11.848029000000679
40,,,,9860,160,40,12.116816200010362
41,,,,10136,164,41,12.45170400000643
42,,,,10432,168,42,12.773114499999792
43,,,,10692,172,43,13.092822100006742
44,,,,10944,176,44,13.370378800012986
45,,,,11192,180,45,13.640478300003451
46,,,,11428,184,46,13.911920500002452
47,,,,11736,188,47,14.237232500003302
48,,,,12060,192,48,14.583276200006367
49,,,,12332,196,49,14.909205600008136
50,3.4243472895322586,847.8404350327626,13.697389158129035,12620,200,50,15.231969800006482
51,3.414638881624696,846.8304426429246,13.658555526498784,12884,204,51,15.569742900013807
52,3.4152329901924525,844.7474253292352,13.66093196076981,13088,208,52,15.835731700004544
53,3.431444686253711,844.5555697187706,13.725778745014845,13292,212,53,16.11130050000793
54,3.4265435461571445,839.7129571888773,13.706174184628578,13484,216,54,16.39794690000417
55,3.4408267989407313,838.15731983993,13.763307195762925,13672,220,55,16.67240930000844
56,3.4438135182881604,839.7282431940192,13.775254073152642,13888,224,56,16.942560499999672
57,3.455836117647167,840.6850310684537,13.823344470588667,14120,228,57,17.215894500011927
58,3.4551436469598675,838.2601566338552,13.82057458783947,14324,232,58,17.49457780001103
59,3.453099947188338,838.8918728842851,13.812399788753352,14564,236,59,17.773214900007588
60,3.4541487657458667,836.6089296300397,13.816595062983467,14772,240,60,18.041603800011217
61,3.4385546977084145,839.007346240853,13.754218790833658,15092,244,61,18.374750700008008
62,3.454185095243305,835.2078573151567,13.81674038097322,15296,248,62,18.64864270000544
63,3.4536143575526115,835.6337106764032,13.814457430210446,15540,252,63,18.92353230000299
64,3.4667220436628092,836.5412539646746,13.866888174651237,15796,256,64,19.1990586000029
