batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,228,4,1,0.8319633000064641
2,,,,408,8,2,1.1470574999693781
3,,,,604,12,3,1.4553673999616876
4,,,,772,16,4,1.7877220999798737
5,,,,956,20,5,2.0539878999697976
6,,,,1104,24,6,2.329288400011137
7,,,,1292,28,7,2.6140366999898106
8,,,,1496,32,8,2.9194286999991164
9,,,,1692,36,9,3.195568799972534
10,,,,1896,40,10,3.473898599972017
11,,,,2044,44,11,3.7623319000122137
12,,,,2200,48,12,4.039662899973337
13,,,,2352,52,13,4.318991799955256
14,,,,2572,56,14,4.606209799996577
15,,,,2800,60,15,4.91140829998767
16,,,,2964,64,16,5.190731299982872
17,,,,3120,68,17,5.462030199996661
18,,,,3300,72,18,5.750279499974567
19,,,,3472,76,19,6.014301499992143
20,,,,3644,80,20,6.288584999972954
21,,,,3820,84,21,6.557658699981403
22,,,,4044,88,22,6.860261399997398
23,,,,4200,92,23,7.144068899971899
24,,,,4396,96,24,7.447878199978732
25,,,,4576,100,25,7.7200337999965996
26,,,,4744,104,26,8.004420099954586
27,,,,4956,108,27,8.293005099985749
28,,,,5132,112,28,8.562123099982273
29,,,,5284,116,29,8.85169089998817
30,,,,5440,120,30,9.129215299966745
31,,,,5608,124,31,9.4072906000074
32,,,,5756,128,32,9.695774799969513
33,,,,5960,132,33,10.005603400000837
34,,,,6140,136,34,10.287895099958405
35,,,,6316,140,35,10.551146699988749
36,,,,6488,144,36,10.840929199999664
37,,,,6660,148,37,11.109884099976625
38,,,,6836,152,38,11.399085399985779
39,,,,7032,156,39,11.685569299967028
40,,,,7188,160,40,11.982479199999943
41,,,,7352,164,41,12.26623909996124
42,,,,7540,168,42,12.544757499999832
43,,,,7760,172,43,12.847760999982711
44,,,,7932,176,44,13.131262799957767
45,,,,8120,180,45,13.416802899970207
46,,,,8316,184,46,13.697760999959428
47,,,,8468,188,47,13.986181899963412
48,,,,8664,192,48,14.271879600011744
49,,,,8828,196,49,14.542105400003493
