batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,232,4,1,0.7363364999764599
2,,,,416,8,2,1.0332320000161417
3,,,,616,12,3,1.3106002999702469
4,,,,788,16,4,1.5694318999885581
5,,,,976,20,5,1.8495143000036478
6,,,,1128,24,6,2.1077762999921106
7,,,,1320,28,7,2.386696600005962
8,,,,1528,32,8,2.6566052999696694
9,,,,1728,36,9,2.9391448000096716
10,,,,1936,40,10,3.2098786999704316
11,,,,2088,44,11,3.4675306999706663
12,,,,2248,48,12,3.728503299993463
13,,,,2404,52,13,4.006114099989645
14,,,,2628,56,14,4.285274899972137
15,,,,2860,60,15,4.559935299970675
16,,,,3028,64,16,4.819524399994407
17,,,,3188,68,17,5.1015029000118375
18,,,,3372,72,18,5.360394099960104
19,,,,3548,76,19,5.617112900014035
20,,,,3724,80,20,5.885158899996895
21,,,,3904,84,21,6.142775300017092
22,,,,4132,88,22,6.4171400999766774
23,,,,4292,92,23,6.676679599971976
24,,,,4492,96,24,6.954567899985705
25,,,,4676,100,25,7.207794499990996
26,,,,4848,104,26,7.4667884999653324
27,,,,5064,108,27,7.738006500003394
28,,,,5244,112,28,8.0049854000099
29,,,,5400,116,29,8.26090190000832
30,,,,5560,120,30,8.5167427000124
31,,,,5732,124,31,8.777158699987922
32,,,,5884,128,32,9.064436999964528
33,,,,6092,132,33,9.333425999968313
34,,,,6276,136,34,9.587620300007984
35,,,,6456,140,35,9.845247799996287
36,,,,6632,144,36,10.11387180001475
37,,,,6808,148,37,10.366917699982878
38,,,,6988,152,38,10.632400700007565
39,,,,7188,156,39,10.917931400006637
40,,,,7348,160,40,11.173588200006634
41,,,,7516,164,41,11.433742399967741
42,,,,7708,168,42,11.698121799970977
43,,,,7932,172,43,11.983844999980647
44,,,,8108,176,44,12.236936200002674
45,,,,8300,180,45,12.50033439998515
46,,,,8500,184,46,12.76826430001529
47,,,,8656,188,47,13.041695199965034
48,,,,8856,192,48,13.312951900006738
49,,,,9024,196,49,13.573169499984942
50,3.7425630212713616,685.2709270785032,14.970252085085447,9204,200,50,13.828968399961013
51,3.7449245667920734,686.0090390107275,14.979698267168294,9392,204,51,14.117607699998189
52,3.7470392463396283,687.6199367976723,14.988156985358513,9608,208,52,14.387591700011399
53,3.745073632702496,688.4821078241649,14.980294530809983,9796,212,53,14.653286799963098
54,3.75031415578245,687.6086199091741,15.0012566231298,9960,216,54,14.915086399996653
55,3.7425130263194606,690.7609757149633,14.970052105277842,10172,220,55,15.200583099969663
56,3.7482961029982773,689.9924663070298,14.99318441199311,10340,224,56,15.459303100011311
57,3.748093998582001,689.6492957390882,14.992375994328004,10544,228,57,15.72991669998737
58,3.747556745971816,689.5504412588142,14.990226983887265,10744,232,58,16.01433039997937
59,3.7518385157174956,687.8881066368567,15.007354062869982,10920,236,59,16.270142299996223
60,3.749333001308215,690.4894082409252,14.99733200523286,11112,240,60,16.53652189997956
61,3.74962757207016,691.4619334944074,14.99851028828064,11284,244,61,16.796467799984384
62,3.7524034335402088,693.8117368953937,15.009613734160835,11464,248,62,17.06441150000319
63,3.755130168793089,692.7831984875413,15.020520675172357,11668,252,63,17.334090199961793
64,3.7561696139862333,686.8424437003398,15.024678455944933,11820,256,64,17.60513959999662
65,3.756437873312199,685.35825688594,15.025751493248796,11968,260,65,17.863797099969815
66,3.757303815230085,688.583433893187,15.02921526092034,12168,264,66,18.142769299971405
67,3.7570066544751333,688.5289746364632,15.028026617900533,12352,268,67,18.402691999974195
68,3.752907066915637,689.6158210307836,15.011628267662548,12552,272,68,18.673657900013495
69,3.7518795385148236,693.4085938936785,15.007518154059294,12780,276,69,18.945279699983075
70,3.747119306457454,691.30527613011,14.988477225829817,12944,280,70,19.219487299968023
71,3.7491203721948585,688.9199965559695,14.996481488779434,13136,284,71,19.486872499983292
72,3.7447450622910323,693.618493578641,14.97898024916413,13368,288,72,19.761682500015013
73,3.743948117985127,694.6933936473628,14.975792471940508,13584,292,73,20.042356099991594
74,3.738474027076822,695.2035782596735,14.953896108307289,13788,296,74,20.31474659999367
75,3.7397897348114286,696.3641130697853,14.959158939245714,13972,300,75,20.56912940001348
76,3.741378537188581,694.8274426207364,14.965514148754323,14164,304,76,20.83478340000147
77,3.7410509575653497,692.9342549155738,14.964203830261399,14320,308,77,21.10290910000913
78,3.7392934679893877,691.9982279128116,14.95717387195755,14468,312,78,21.364981699967757
79,3.7343707628702103,693.221152225866,14.937483051480841,14656,316,79,21.63809650001349
80,3.7332907809365787,694.2397060386552,14.933163123746315,14844,320,80,21.902308299962897
81,3.7344139375737684,695.0582675647503,14.937655750295074,15004,324,81,22.18563909997465
82,3.736138810628824,692.0244050054532,14.944555242515296,15168,328,82,22.448570400010794
83,3.735363635099891,689.4414023641513,14.941454540399564,15320,332,83,22.705486399994697
84,3.73485023742741,687.8222151539785,14.93940094970964,15480,336,84,22.964917099976446
85,3.7291967236510875,689.2164393751888,14.91678689460435,15688,340,85,23.253430699987803
86,3.7249955303831803,689.3522340717282,14.899982121532721,15876,344,86,23.521295899990946
87,3.726073154322486,687.4224758178626,14.904292617289943,16028,348,87,23.782974499976262
88,3.7268771611053073,686.9623371245538,14.90750864442123,16220,352,88,24.06566819996806
89,3.7270631778213477,688.8221252724516,14.90825271128539,16404,356,89,24.320668799977284
90,3.726879797286172,689.0924686410759,14.907519189144688,16576,360,90,24.581469899974763
91,3.7287237500798023,688.2158693004435,14.91489500031921,16752,364,91,24.839347400004044
92,3.730268118733098,686.673845530052,14.921072474932393,16952,368,92,25.11962999997195
93,3.7257370310076996,689.7935988837113,14.902948124030798,17180,372,93,25.38869639998302
94,3.724217640306632,689.8163123147549,14.896870561226528,17376,376,94,25.657460199960042
95,3.722370392404447,689.1702897937375,14.889481569617788,17572,380,95,25.93191939999815
96,3.7194531842056198,691.3628490151997,14.877812736822479,17764,384,96,26.21567469998263
97,3.7207561287225355,691.9087723453008,14.883024514890142,17968,388,97,26.48231809999561
98,3.7202350447519787,693.6340279357975,14.880940179007915,18160,392,98,26.744380299991462
99,3.7125786749335106,694.3279791242998,14.850314699734042,18368,396,99,27.027341899985913
100,3.7221967192655785,695.822896907606,14.888786877062314,18552,400,100,27.28187700000126
101,3.7226195916138467,694.0786242649817,14.890478366455387,18744,404,101,27.55036559997825
102,3.7218381137600165,692.1099773996177,14.887352455040066,18908,408,102,27.81882449996192
103,3.714545121665833,695.9086574875989,14.858180486663333,19140,412,103,28.10647279996192
104,3.7234926741119514,694.8493267771364,14.893970696447806,19316,416,104,28.360270600009244
105,3.7169657419545725,697.5758563880458,14.86786296781829,19536,420,105,28.64209879998816
106,3.7176424744801726,698.6133041839475,14.87056989792069,19752,424,106,28.910312699968927
107,3.7190951918018498,697.9754976287717,14.876380767207399,19940,428,107,29.189577999990433
108,3.7155499046886,699.130002474059,14.8621996187544,20140,432,108,29.457961399981286
109,3.7167366105942645,697.2294474404588,14.866946442377058,20304,436,109,29.7201302999747
110,3.7173695183147837,698.2585519708015,14.869478073259135,20488,440,110,29.977831600001082
111,3.711632541962394,698.0899083005188,14.846530167849576,20680,444,111,30.26614939997671
112,3.712378491191615,699.1393615656372,14.84951396476646,20896,448,112,30.533175399992615
113,3.7152613397514913,701.8052849130572,14.861045359005965,21076,452,113,30.79398299998138
