batches,device/batches_per_sec,device/items_per_sec,device/samples_per_sec,lengths,samples,step,time
1,,,,488,4,1,0.6562405999866314
2,,,,732,8,2,0.8421650999807753
3,,,,968,12,3,1.0165028999908827
4,,,,1232,16,4,1.169571000005817
5,,,,1476,20,5,1.3222545000026003
6,,,,1736,24,6,1.4923452000075486
7,,,,1940,28,7,1.6380132999911439
8,,,,2200,32,8,1.78356260000146
9,,,,2436,36,9,1.9178319000056945
10,,,,2660,40,10,2.069560400006594
11,,,,2904,44,11,2.2184937999991234
12,,,,3136,48,12,2.410651099984534
13,,,,3448,52,13,2.582306800002698
14,,,,3684,56,14,2.7230337999935728
15,,,,3972,60,15,2.8910982999950647
16,,,,4200,64,16,3.0657051999878604
17,,,,4420,68,17,3.216442200005986
18,,,,4664,72,18,3.379091499984497
19,,,,4892,76,19,3.5294368999893777
20,,,,5116,80,20,3.679856500006281
21,,,,5368,84,21,3.8258313999976963
22,,,,5684,88,22,3.9806147000053898
23,,,,5928,92,23,4.137478999997256
24,,,,6168,96,24,4.308910599997034
25,,,,6384,100,25,4.458950400003232
26,,,,6620,104,26,4.60500250000041
27,,,,6848,108,27,4.742551800009096
28,,,,7072,112,28,4.8842576000024565
29,,,,7268,116,29,5.044728699984262
30,,,,7504,120,30,5.1825365999829955
31,,,,7700,124,31,5.349173900001915
32,,,,7948,128,32,5.533986199996434
33,,,,8192,132,33,5.669874699990032
34,,,,8512,136,34,5.834303399984492
35,,,,8696,140,35,5.981832799996482
36,,,,8968,144,36,6.144866899994668
37,,,,9200,148,37,6.293714900006307
38,,,,9400,152,38,6.445029099995736
39,,,,9628,156,39,6.583061399986036
40,,,,9860,160,40,6.727079300006153
41,,,,10136,164,41,6.889841600001091
42,,,,10432,168,42,7.051364399987506
43,,,,10692,172,43,7.2027420999947935
44,,,,10944,176,44,7.368257699999958
45,,,,11192,180,45,7.521563999995124
46,,,,11428,184,46,7.670782100001816
47,,,,11736,188,47,7.828175300004659
48,,,,12060,192,48,7.988526700006332
49,,,,12332,196,49,8.138820799998939
50,6.419174225359825,1589.3351367768448,25.6766969014393,12620,200,50,8.289621200005058
51,6.433733477412486,1595.5659023982964,25.734933909649943,12884,204,51,8.458271699986653
52,6.464163082230962,1598.890950135495,25.856652328923847,13088,208,52,8.59675719999359
53,6.47769956742113,1594.307281287731,25.91079826968452,13292,212,53,8.733984799997415
54,6.476146712813606,1587.052443417669,25.904586851254425,13484,216,54,8.888482099981047
55,6.455358796220055,1572.4727059527056,25.82143518488022,13672,220,55,9.082938000006834
56,6.46220317368425,1575.7225207995798,25.848812694737,13888,224,56,9.22056660000817
57,6.449789723040531,1569.0100714008802,25.799158892162126,14120,228,57,9.380709499993827
58,6.450233003499331,1564.9055090938787,25.800932013997325,14324,232,58,9.514456699980656
59,6.452154476447617,1567.4785079108658,25.808617905790467,14564,236,59,9.663922899984755
60,6.454614405155313,1563.333954293536,25.818457620621253,14772,240,60,9.80996199999936
61,6.489843421524073,1583.521794851874,25.959373686096292,15092,244,61,9.960910299996613
62,6.516044962832505,1575.5530759110106,26.06417985133002,15296,248,62,10.10220580000896
63,6.518502610010741,1577.2115702915785,26.074010440042965,15540,252,63,10.240097600006266
64,6.513281285037194,1571.6946513118323,26.053125140148776,15796,256,64,10.414188099995954
65,6.5475802568558965,1576.2297287729011,26.190321027423586,15996,260,65,10.549385899998015
66,6.559098346182064,1579.5379690805787,26.236393384728256,16220,264,66,10.686981200007722
67,6.581316041303179,1583.8138522254508,26.325264165212715,16456,268,67,10.824410900007933
68,6.5857193943412415,1587.02397159962,26.342877577364966,16700,272,68,10.969778200000292
69,6.595838932903056,1588.9241380405647,26.383355731612223,16920,276,69,11.108782600000268
70,6.603591229669506,1590.7916505105889,26.414364918678025,17172,280,70,11.246036299999105
71,6.606007786599003,1580.588475307892,26.42403114639601,17408,284,71,11.398105200001737
72,6.616562812284974,1574.4718855355673,26.466251249139894,17588,288,72,11.543136799999047
73,6.634977652324302,1580.4787583250868,26.53991060929721,17840,292,73,11.694014599983348
74,6.64110104793122,1582.4795068498963,26.56440419172488,18060,296,74,11.83724500000244
75,6.634719274742781,1584.2084798875621,26.538877098971124,18320,300,75,11.990394099993864
76,6.626361977713715,1581.1311070087502,26.50544791085486,18540,304,76,12.137258000002475
77,6.622100023606191,1584.9793689153757,26.488400094424765,18800,308,77,12.283723000000464
78,6.631310862917255,1594.2212645952095,26.52524345166902,19048,312,78,12.43391629998223
79,6.632701459763146,1594.0141304116491,26.530805839052583,19280,316,79,12.570175000000745
80,6.654567034117288,1605.2445376176804,26.61826813646915,19520,320,80,12.712537999992492
81,6.696457703698002,1612.6163449721719,26.785830814792007,19748,324,81,12.851287700003013
82,6.661312240448786,1599.2587182987656,26.645248961795144,19956,328,82,13.025782699987758
83,6.633997972382958,1591.6179625170214,26.535991889531832,20268,332,83,13.22049799998058
84,6.620186114788439,1600.1935580317197,26.480744459153755,20540,336,84,13.383437399985269
85,6.631884642354429,1596.5247192084253,26.527538569417715,20764,340,85,13.53341519998503
86,6.618647702222002,1596.03961733582,26.474590808888006,21016,344,86,13.697039899998344
87,6.607144386127699,1600.2773382563985,26.428577544510794,21268,348,87,13.86124359999667
88,6.611547945510746,1598.6453073145167,26.446191782042984,21476,352,88,13.994336400006432
89,6.610171197240065,1597.7728093900273,26.44068478896026,21704,356,89,14.13989789999323
90,6.622700316323828,1602.4231622517407,26.49080126529531,21992,360,90,14.288636299985228
91,6.629769877568225,1594.933210546413,26.5190795102729,22220,364,91,14.442269499995746
92,6.636140061232348,1591.0484375379108,26.544560244929393,22440,368,92,14.586552499997197
93,6.655369471290026,1595.11549124143,26.621477885160104,22688,372,93,14.730733999982476
94,6.651837322985672,1594.8119361313404,26.60734929194269,22940,376,94,14.887949800002389
95,6.655832420390311,1595.2264478584452,26.623329681561245,23172,380,95,15.032746299984865
96,6.660507645422023,1596.3469752619642,26.642030581688093,23480,384,96,15.184971899987431
97,6.665604704350261,1594.8479500776011,26.662418817401043,23784,388,97,15.339697699993849
98,6.642897385646635,1588.3303218415504,26.57158954258654,24048,392,98,15.51512019999791
99,6.6182162810392215,1584.5900695745336,26.472865124156886,24352,396,99,15.693428800004767
100,6.625233896103151,1581.4027683433155,26.500935584412606,24580,400,100,15.854236999992281
101,6.609519056324786,1583.5868106378161,26.438076225299145,24828,404,101,16.010307199991075
102,6.606669300536891,1585.0613121859528,26.426677202147562,25048,408,102,16.15073259998462
103,6.617555223350463,1595.2359652697075,26.47022089340185,25296,412,103,16.293029299995396
104,6.65425661389485,1609.51529363024,26.6170264555794,25524,416,104,16.446645599993644
